from;to;type;endDate
/faq/donde-veo-a-los-clientes-que-utilizan-recurrencia;https://help.vtex.com/tutorial/donde-veo-a-los-clientes-que-utilizan-recurrencia;permanent;
/en/tutorial/how-to-configure-the-favicon--tutorials_6370;https://help.vtex.com/en/tutorial/configuring-favicon-in-your-store--tutorials_6370;permanent;
/faq/mercado-libre-faq;https://help.vtex.com/tutorial/mercado-libre-faq;permanent;
/tutorial/recursos-do-license-manager-suggestion--hrNYkZC3zSF3BxkTpxOLs;https://help.vtex.com/pt/tutorial/recursos-do-license-manager--3q6ztrC8YynQf6rdc6euk3#;permanent;
/subcategory/preco-b2b--1GujN7Pa7NESCz0sB8srX4;https://help.vtex.com/pt/subcategory/referencia--5N5GjDrKSycIQMeoS7CLtj;permanent;
/faq/como-cambiar-la-ordenacion-de-tipos-de-entrega-en-el-carrito;https://help.vtex.com/tutorial/como-cambiar-la-ordenacion-de-tipos-de-entrega-en-el-carrito;permanent;
v4/docs/planner-releases-page--1tQNCNwoMvxV4EoizajqJw;/tutorial/planner-releases-page-beta--2p7IiVD6K8i1iRiwHph5sw;permanent;
/tutorial/criando-listas-no-site--tutorials_248;https://developers.vtex.com/vtex-developer-docs/docs/creating-gift-lists;permanent;
/pt/tutorial/suporte-vtex-emea;https://help.vtex.com/en/tutorial/recursos-de-suporte-global-da-vtex--5maoEWCrTKFAEMXRsfcklV;permanent;
/pt/tutorial/suporte-vtex-emea--36iE7FTX0AIkfPKLeqr1vN;https://help.vtex.com/en/tutorial/recursos-de-suporte-global-da-vtex--5maoEWCrTKFAEMXRsfcklV;permanent;
/tutorial/suporte-vtex-emea;https://help.vtex.com/en/tutorial/recursos-de-suporte-global-da-vtex--5maoEWCrTKFAEMXRsfcklV;permanent;
/tutorial/suporte-vtex-emea--36iE7FTX0AIkfPKLeqr1vN;https://help.vtex.com/en/tutorial/recursos-de-suporte-global-da-vtex--5maoEWCrTKFAEMXRsfcklV;permanent;
/en/tutorial/vtex-support-emea;https://help.vtex.com/en/tutorial/recursos-de-suporte-global-da-vtex--5maoEWCrTKFAEMXRsfcklV;permanent;
